City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
621,Otukpo,NG,75.87,clear sky,7.1913,8.1329,Queen s Hotel
622,Wawa,NG,76.95,clear sky,9.9022,4.4192,
627,Buala,SB,87.03,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
630,Samarai,PG,85.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
637,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
638,Roebourne,AU,87.28,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
639,Tabou,CI,79.0,overcast clouds,4.423,-7.3528,hotêl doufoulougou
642,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
646,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
659,Morondava,MG,80.92,moderate rain,-20.2833,44.2833,La Case Bambou
661,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
663,Sao Joao Da Barra,BR,77.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
