City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
274,Shenjiamen,CN,29.9576,122.298,44.8,79,100,17.54,light rain
275,Makat,KZ,47.6469,53.3463,23.92,89,90,9.78,overcast clouds
276,Nuevo Casas Grandes,MX,30.4167,-107.9167,52.75,23,3,10.0,clear sky
277,Tiznit,MA,29.5833,-9.5,61.34,33,5,3.18,clear sky
278,Barmer,IN,25.75,71.3833,61.29,69,0,6.62,clear sky
279,Tilichiki,RU,60.4667,166.1,-7.8,80,6,9.73,clear sky
280,Sur,OM,22.5667,59.5289,70.0,64,1,10.67,clear sky
281,Bunia,CD,1.5667,30.25,63.99,40,100,4.27,overcast clouds
282,Itaueira,BR,-7.6033,-43.0256,76.77,79,79,3.74,broken clouds
283,Shieli,KZ,44.1667,66.75,30.52,89,100,12.95,overcast clouds
284,Innisfail,AU,-17.5333,146.0333,86.22,77,68,7.81,broken clouds
285,Kautokeino,NO,69.0125,23.0412,0.39,100,94,3.71,overcast clouds
286,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,8.05,clear sky
287,Manta,EC,-0.95,-80.7333,78.58,78,75,10.36,broken clouds
288,Baruun-Urt,MN,46.6806,113.2792,-1.8,90,8,6.6,clear sky
289,Mareeba,AU,-17.0,145.4333,81.66,81,74,4.09,broken clouds
290,Mount Isa,AU,-20.7333,139.5,83.97,54,43,10.36,scattered clouds
291,Nanhai,CN,30.1282,111.7784,30.9,97,100,11.12,light snow
292,Qui Nhon,VN,13.7667,109.2333,70.97,88,84,5.12,broken clouds
293,Pula,HR,44.8683,13.8481,52.66,93,40,1.14,mist
294,Portobelo,PA,9.55,-79.65,81.01,78,10,9.42,clear sky
295,Hovd,MN,48.0056,91.6419,-14.55,69,13,3.65,few clouds
296,Shumikha,RU,55.2261,63.2961,-6.79,96,28,4.9,scattered clouds
297,Synya,RU,65.3718,58.0387,2.08,94,65,2.75,broken clouds
298,Ahipara,NZ,-35.1667,173.1667,76.66,92,96,7.34,overcast clouds
299,Abu Zabad,SD,12.35,29.25,57.78,21,6,12.44,clear sky
300,Alofi,NU,-19.0595,-169.9187,80.49,89,100,4.61,overcast clouds
301,Kaeo,NZ,-35.1,173.7833,76.32,98,100,5.77,overcast clouds
302,Pevek,RU,69.7008,170.3133,-23.33,98,21,0.81,few clouds
303,Yarim,YE,14.298,44.3779,50.77,56,96,1.95,overcast clouds
304,San Patricio,US,28.017,-97.5169,63.01,73,67,9.28,broken clouds
305,Mount Vernon,US,40.9126,-73.8371,30.18,73,20,3.0,few clouds
306,Yoshida,JP,37.6833,138.8833,33.69,73,100,13.38,light snow
307,High Prairie,CA,55.4334,-116.4858,43.9,69,100,13.78,overcast clouds
308,Northam,GB,51.0333,-4.2167,46.62,76,14,17.96,few clouds
309,Coahuayana,MX,18.7333,-103.6833,85.48,49,31,4.63,scattered clouds
310,Kapit,MY,2.0167,112.9333,74.25,98,100,0.51,overcast clouds
311,Quchan,IR,37.106,58.5095,24.13,88,77,4.12,broken clouds
312,Estelle,US,29.8458,-90.1067,53.01,49,0,3.44,clear sky
313,Sangar,RU,63.9242,127.4739,-37.48,97,95,2.62,overcast clouds
314,Shasta Lake,US,40.6804,-122.3708,77.72,20,0,5.77,clear sky
315,Asfi,MA,32.2994,-9.2372,56.57,78,19,13.11,few clouds
316,Kenai,US,60.5544,-151.2583,28.49,89,0,4.61,clear sky
317,Tessalit,ML,20.1986,1.0114,62.55,14,0,5.77,clear sky
318,Kampot,KH,10.6167,104.1833,75.25,70,93,4.88,overcast clouds
319,Sa Kaeo,TH,13.75,102.3333,75.24,63,62,5.75,broken clouds
320,Daan,CN,33.0558,106.2958,29.16,90,97,3.29,overcast clouds
321,Lima,PE,-12.0432,-77.0282,70.05,63,0,1.01,clear sky
322,Ipixuna,BR,-1.7625,-48.8043,76.95,98,99,3.27,moderate rain
323,Puerto Colombia,CO,10.9878,-74.9547,78.89,82,2,24.0,clear sky
324,Matara,LK,5.9485,80.5353,74.34,88,94,4.54,overcast clouds
325,Chapais,CA,49.7834,-74.8492,4.78,95,100,6.89,light snow
326,Poli,TZ,-3.3333,36.8,61.14,85,100,2.24,overcast clouds
327,Quatre Cocos,MU,-20.2078,57.7625,78.91,84,94,9.1,light rain
328,Mitu,CO,1.1983,-70.1733,73.27,94,62,1.52,broken clouds
329,Pozo Colorado,PY,-23.4923,-58.7972,76.01,51,2,5.97,clear sky
330,Wamba,NG,8.9333,8.6,72.12,22,0,4.09,clear sky
331,Porto De Moz,BR,-1.7483,-52.2383,74.07,96,100,4.12,moderate rain
332,Resistencia,AR,-27.4606,-58.9839,74.08,44,0,5.75,light rain
333,Sobolevo,RU,54.4299,31.8996,30.24,97,100,14.47,snow
334,Castro,BR,-24.7911,-50.0119,65.37,83,47,1.86,scattered clouds
335,Tazovskiy,RU,67.4667,78.7,-24.48,100,90,2.28,overcast clouds
336,Codrington,AU,-38.2667,141.9667,79.03,32,0,5.57,clear sky
337,Quelimane,MZ,-17.8786,36.8883,72.59,97,93,5.88,moderate rain
338,Altus,US,34.6381,-99.334,51.87,41,0,12.66,clear sky
339,Aitape,PG,-3.1374,142.3475,80.73,82,100,2.66,overcast clouds
340,Karur,IN,10.95,78.0833,69.69,88,35,4.03,scattered clouds
341,Masvingo,ZW,-20.0637,30.8277,63.01,81,79,8.93,broken clouds
342,Hay River,CA,60.8156,-115.7999,24.78,80,75,3.44,broken clouds
343,Kargasok,RU,59.0556,80.8572,-7.11,100,92,4.41,overcast clouds
344,Owatonna,US,44.0839,-93.226,12.72,78,100,4.0,overcast clouds
